Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power bhp,Max Torque Nm,Height_yj,Price_yj
Maruti Suzuki,325000,2013,23086,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3775.0,1680.0,1620.0,5.0,43.0,85.0,113.0,4.718447854656915e-16,-1.1933249721145225
Hyundai,1175000,2019,36313,Petrol,Manual,Mumbai,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0,5.551115123125783e-16,0.3608940687700593
Honda,351000,2014,39276,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,87.0,109.0,-7.494005416219807e-16,-1.0923036633380176
Hyundai,551000,2015,47752,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.5214361679388742
Honda,819999,2018,27963,Petrol,Manual,Delhi,First,Individual,1199.0,FWD,3999.0,1734.0,1601.0,5.0,40.0,89.0,110.0,3.3306690738754696e-16,-0.04675050995368119
Hyundai,990000,2020,24013,Petrol,Manual,Mumbai,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,118.0,172.0,3.608224830031759e-16,0.1692712911637284
Hyundai,925000,2016,66000,Diesel,Automatic,Raipur,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0,5.551115123125783e-16,0.09205006779631433
Ford,535000,2015,28000,Petrol,Manual,Mumbai,First,Individual,999.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,124.0,170.0,1.0824674490095276e-15,-0.5576666607018006
Honda,860000,2013,67000,Petrol,Automatic,Mumbai,First,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,0.008392274588819486
Hyundai,145000,2009,72000,Other,Manual,Kanpur,Second,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,62.0,96.0,2.220446049250313e-16,-2.3198692791577504
Tata,409000,2018,27069,Petrol,Manual,Mumbai,First,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,84.0,114.0,-3.3306690738754696e-16,-0.8947174891540051
Tata,490000,2018,43000,Diesel,Manual,Patna,First,Individual,1047.0,FWD,3992.0,1677.0,1537.0,5.0,35.0,69.0,140.0,-3.3306690738754696e-16,-0.6665684207380345
Toyota,1900000,2019,71000,Diesel,Manual,Mumbai,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,8.0,55.0,148.0,343.0,1.582067810090848e-15,0.874901865670014
Mercedes-Benz,3850000,2017,45600,Diesel,Automatic,Mumbai,Second,Individual,2143.0,AWD,4656.0,1890.0,1639.0,5.0,66.0,168.0,400.0,6.38378239159465e-16,1.5710566677976985
Hyundai,1125000,2018,60000,Diesel,Manual,Patna,First,Individual,1582.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,126.0,260.0,8.049116928532385e-16,0.31268290247900093
Toyota,1095000,2016,45000,Petrol,Automatic,Mumbai,First,Individual,1798.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,138.0,173.0,-1.0547118733938987e-15,0.28257073322441045
Audi,1575000,2013,66000,Diesel,Automatic,Hyderabad,First,Individual,1968.0,FWD,4701.0,1826.0,1427.0,5.0,63.0,177.0,380.0,-1.7763568394002505e-15,0.6782983994502378
Hyundai,525000,2015,68397,Petrol,Manual,Patna,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.5809425531773481
Mahindra,625000,2015,65000,Diesel,Manual,Other,Second,Individual,2498.0,AWD,3920.0,1726.0,1930.0,6.0,60.0,105.0,247.0,2.1094237467877974e-15,-0.36815022490054655
Maruti Suzuki,605000,2019,27469,Petrol,Manual,Delhi,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.40745662656956017
Maruti Suzuki,412000,2016,41058,Petrol,Automatic,Delhi,First,Individual,998.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,67.0,90.0,-5.551115123125783e-17,-0.885379086354429
Maruti Suzuki,625000,2016,51330,Diesel,Manual,Mumbai,First,Individual,1248.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,89.0,200.0,-9.43689570931383e-16,-0.36815022490054655
Maruti Suzuki,511000,2015,45969,Petrol,Manual,Mumbai,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0,-9.43689570931383e-16,-0.6143903867685168
Hyundai,1150000,2017,66602,Diesel,Automatic,Mumbai,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0,5.551115123125783e-16,0.3370866425349091
Hyundai,885000,2016,57983,Petrol,Manual,Mumbai,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0,5.551115123125783e-16,0.04139388711178694
Renault,470000,2019,11183,Petrol,Automatic,Mumbai,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,67.0,91.0,-1.0269562977782698e-15,-0.7186835521333422
MG,1611000,2019,46301,Diesel,Manual,Mumbai,First,Individual,1956.0,FWD,4655.0,1835.0,1760.0,5.0,60.0,169.0,350.0,1.3877787807814457e-15,0.7022532647563527
Tata,475000,2017,34867,Petrol,Automatic,Mumbai,Second,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,84.0,114.0,-3.3306690738754696e-16,-0.7054213835920488
Toyota,865000,2015,43634,Diesel,Manual,Delhi,First,Individual,2494.0,RWD,4585.0,1765.0,1760.0,7.0,55.0,101.0,200.0,1.3877787807814457e-15,0.015079206895631858
BMW,3800000,2018,9512,Diesel,Automatic,Mumbai,First,Corporate,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,190.0,400.0,9.159339953157541e-16,1.5587768593345588
Jeep,2475000,2020,11293,Diesel,Automatic,Mumbai,First,Individual,1956.0,AWD,4395.0,1818.0,1640.0,5.0,60.0,171.0,350.0,6.38378239159465e-16,1.1434879471283153
Mahindra,400000,2014,78000,Diesel,Manual,Gurgaon,Second,Individual,2179.0,RWD,4430.0,1817.0,1975.0,8.0,60.0,120.0,290.0,2.248201624865942e-15,-0.9232072890217987
Honda,440000,2016,50374,Petrol,Manual,Other,First,Individual,1198.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,87.0,109.0,-7.494005416219807e-16,-0.8017837512867486
BMW,2800000,2017,15900,Petrol,Automatic,Delhi,First,Individual,1998.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,181.0,270.0,-1.7486012637846216e-15,1.2655160163021122
Honda,645000,2017,64000,Petrol,Manual,Mumbai,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0,-8.049116928532385e-16,-0.3302496381439244
Volkswagen,365000,2013,78000,Diesel,Manual,Jaipur,First,Individual,1199.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,74.0,180.0,-1.3600232051658168e-15,-1.0413744941613883
Maruti Suzuki,1044999,2021,24000,Petrol,Manual,Mumbai,First,Individual,1462.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,103.0,138.0,6.38378239159465e-16,0.23023478998348648
Hyundai,455000,2015,69700,Petrol,Automatic,Mumbai,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,79.0,112.0,-4.996003610813204e-16,-0.7594542211658295
BMW,1800000,2012,74073,Diesel,Automatic,Hyderabad,First,Individual,1995.0,AWD,4648.0,1881.0,1661.0,5.0,67.0,184.0,380.0,7.771561172376096e-16,0.8187599138738402
Toyota,3499000,2019,73000,Diesel,Automatic,Mumbai,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0,1.7486012637846216e-15,1.480741739159915
Audi,1250000,2012,50000,Diesel,Automatic,Mumbai,First,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,0.4289979730895259
Maruti Suzuki,775000,2021,24000,Petrol,Automatic,Agra,First,Individual,1197.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,89.0,113.0,-3.885780586188048e-16,-0.11256445043272614
Hyundai,825000,2021,43000,Diesel,Manual,Agra,First,Individual,1493.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,99.0,240.0,-6.661338147750939e-16,-0.039690907540739936
Audi,2250000,2016,40500,Diesel,Automatic,Other,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,141.0,320.0,-1.970645868709653e-15,1.0477902194000024
Honda,865000,2017,49013,Petrol,Automatic,Mumbai,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0,-8.049116928532385e-16,0.015079206895631858
Ford,299000,2013,64983,Diesel,Manual,Mumbai,First,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,68.0,160.0,-1.7763568394002505e-15,-1.3039904375956997
Honda,570000,2017,92270,Petrol,Manual,Mumbai,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,89.0,110.0,-2.498001805406602e-16,-0.47993641481758614
Volkswagen,385000,2013,65000,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,74.0,110.0,-1.3600232051658168e-15,-0.9723503683653725
Honda,350000,2014,110000,Diesel,Manual,Other,First,Individual,1498.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,99.0,200.0,-6.661338147750939e-16,-1.09602958797009
Toyota,2345000,2017,47000,Petrol,Automatic,Delhi,First,Individual,2494.0,FWD,4825.0,1825.0,1480.0,5.0,70.0,179.0,233.0,-9.992007221626409e-16,1.0894680219062263
Mahindra,1650000,2022,10000,Petrol,Automatic,Jalandhar,First,Individual,1997.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,150.0,320.0,1.7763568394002505e-15,0.727526484532319
Mercedes-Benz,1100000,2011,51500,Diesel,Automatic,Hyderabad,Second,Individual,2143.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,207.0,500.0,-1.4710455076283324e-15,0.2876541531719931
Audi,2900000,2018,35000,Diesel,Automatic,Pune,First,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,184.0,380.0,3.608224830031759e-16,1.299845700924678
Maruti Suzuki,545000,2017,61518,Petrol,Manual,Noida,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.5348806201195698
Maruti Suzuki,615000,2017,36058,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.38762161102192855
Hyundai,890000,2016,88000,Diesel,Automatic,Ahmedabad,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0,5.551115123125783e-16,0.04786690820705145
Volkswagen,430000,2015,98112,Petrol,Manual,Mumbai,First,Individual,1598.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,103.0,153.0,-1.1934897514720433e-15,-0.8309261825575134
Mercedes-Benz,1650000,2013,58000,Diesel,Automatic,Bangalore,First,Individual,2143.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,170.0,400.0,-1.4710455076283324e-15,0.727526484532319
Toyota,1599000,2015,92355,Petrol,Automatic,Mumbai,First,Individual,2494.0,FWD,4825.0,1825.0,1480.0,5.0,65.0,202.0,270.0,-9.992007221626409e-16,0.6943365696567745
Maruti Suzuki,691000,2019,16652,Petrol,Manual,Ahmedabad,First,Individual,1197.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,89.0,113.0,-5.828670879282072e-16,-0.24793004193195478
Nissan,650000,2016,76584,Diesel,Manual,Mumbai,First,Individual,1461.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,108.0,248.0,8.604228440844963e-16,-0.3209832210735394
Maruti Suzuki,669000,2016,70000,Diesel,Manual,Mohali,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0,6.38378239159465e-16,-0.2864962537181905
Mercedes-Benz,3900000,2018,83400,Diesel,Automatic,Hyderabad,Second,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,1.5831563409732023
Mercedes-Benz,5100000,2017,56000,Petrol,Automatic,Other,Second,Individual,1991.0,RWD,4686.0,1810.0,1409.0,4.0,59.0,241.0,370.0,-2.0816681711721685e-15,1.8298966915666035
Hyundai,525000,2015,68766,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.5809425531773481
Hyundai,750000,2018,16339,Petrol,Manual,Kolkata,First,Individual,1591.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,121.0,158.0,-1.0547118733938987e-15,-0.151035978067518
Honda,445000,2016,63882,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,87.0,109.0,-6.661338147750939e-16,-0.7874937995020878
Toyota,493000,2012,28732,Petrol,Manual,Zirakpur,First,Individual,1798.0,FWD,4540.0,1760.0,1480.0,5.0,55.0,138.0,173.0,-9.992007221626409e-16,-0.6589602428761194
Hyundai,611000,2017,51349,Petrol,Manual,Other,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.39551127020080945
Hyundai,475000,2014,61866,Petrol,Automatic,Thane,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,79.0,112.0,-4.996003610813204e-16,-0.7054213835920488
Hyundai,925000,2017,29401,Petrol,Manual,Mumbai,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,154.0,5.551115123125783e-16,0.09205006779631433
Audi,1325000,2012,98580,Diesel,Automatic,Other,First,Individual,1968.0,FWD,4915.0,1874.0,1455.0,5.0,65.0,177.0,380.0,-1.3600232051658168e-15,0.4926034371289893
Mahindra,1299000,2020,31348,Diesel,Manual,Bangalore,First,Individual,1497.0,FWD,3995.0,1821.0,1627.0,5.0,42.0,115.0,300.0,5.273559366969494e-16,0.4710280159382065
Maruti Suzuki,580000,2018,28851,Diesel,Manual,Kolkata,First,Corporate,1248.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,74.0,190.0,-3.885780586188048e-16,-0.45872188545183057
Honda,229000,2013,38175,Petrol,Manual,Kolkata,First,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-1.6666519130629944
Mahindra,1575000,2021,8519,Petrol,Manual,Mumbai,First,Individual,1997.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,150.0,300.0,1.7763568394002505e-15,0.6782983994502378
Honda,375000,2011,78000,Petrol,Manual,Pune,First,Individual,1497.0,FWD,4420.0,1695.0,1480.0,5.0,42.0,118.0,146.0,-9.992007221626409e-16,-1.006338782770547
Mercedes-Benz,2250000,2015,48000,Diesel,Automatic,Mumbai,First,Individual,2143.0,RWD,4879.0,1854.0,1474.0,5.0,80.0,204.0,500.0,-1.0824674490095276e-15,1.0477902194000024
Tata,425000,2017,39000,Diesel,Manual,Ranchi,First,Commercial Registration,1248.0,FWD,3995.0,1706.0,1570.0,5.0,44.0,74.0,190.0,2.7755575615628914e-17,-0.845788031380526
Skoda,425000,2014,24000,Petrol,Automatic,Mumbai,Second,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,104.0,153.0,-1.1934897514720433e-15,-0.845788031380526
Maruti Suzuki,425000,2012,78000,Diesel,Manual,Jalandhar,Second,Individual,1248.0,FWD,4265.0,1695.0,1685.0,7.0,45.0,89.0,200.0,9.71445146547012e-16,-0.845788031380526
Ford,235000,2014,82000,Diesel,Manual,Ludhiana,Second,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,68.0,160.0,-1.7763568394002505e-15,-1.630898630064784
Audi,3050000,2020,40910,Diesel,Automatic,Bangalore,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,141.0,320.0,-1.970645868709653e-15,1.3488920791864656
Tata,2145000,2020,10290,Diesel,Manual,Bangalore,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,168.0,350.0,1.0824674490095276e-15,0.9993298744392405
Hyundai,1245000,2021,10530,Petrol,Automatic,Bangalore,First,Individual,998.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,118.0,172.0,-6.661338147750939e-16,0.42460406927662464
Hyundai,549000,2015,61900,Petrol,Manual,Gurgaon,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0,-6.661338147750939e-16,-0.5258990657352342
Volkswagen,484999,2013,78000,Diesel,Manual,Bangalore,Second,Individual,1199.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,74.0,180.0,-1.3600232051658168e-15,-0.6793698321669379
Maruti Suzuki,415000,2014,57402,Petrol,Manual,Delhi,First,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,85.0,114.0,-1.1102230246251565e-16,-0.876117736210869
Hyundai,200000,2013,57000,Other,Manual,Kanpur,First,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,62.0,96.0,2.220446049250313e-16,-1.855927735614222
Hyundai,375000,2015,87500,Petrol,Manual,Gurgaon,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0,-4.996003610813204e-16,-1.006338782770547
Tata,1375000,2021,16000,Other,Automatic,Mumbai,First,Individual,1498.0,FWD,3993.0,1811.0,1606.0,5.0,50.0,116.0,200.0,3.608224830031759e-16,0.5327723265521661
Hyundai,1875000,2022,18000,Petrol,Automatic,Delhi,First,Individual,1353.0,FWD,4300.0,1790.0,1635.0,5.0,50.0,138.0,242.0,5.828670879282072e-16,0.8611870496701821
Audi,2950000,2020,10700,Petrol,Automatic,Ahmedabad,First,Individual,1984.0,AWD,4318.0,1805.0,1548.0,5.0,55.0,188.0,320.0,-1.942890293094024e-16,1.3165090548859337
Hyundai,1050000,2020,16282,Petrol,Automatic,Pune,First,Individual,998.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,118.0,172.0,-6.661338147750939e-16,0.2355962752016608
Hyundai,470000,2013,66000,Diesel,Manual,Other,Third,Individual,1582.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,126.0,260.0,-1.0547118733938987e-15,-0.7186835521333422
Mahindra,550000,2007,92170,Diesel,Manual,Ranchi,Second,Individual,2609.0,RWD,4495.0,1817.0,1975.0,7.0,60.0,116.0,277.0,2.248201624865942e-15,-0.5236653086149117
Hyundai,484999,2018,55221,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0,-4.996003610813204e-16,-0.6793698321669379
Toyota,3350000,2018,25000,Diesel,Automatic,Noida,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0,1.7486012637846216e-15,1.4392330208203523
Maruti Suzuki,210000,2011,58888,Petrol,Manual,Delhi,Second,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,-1.7873187592378925
Renault,890000,2020,23500,Petrol,Manual,Chennai,First,Individual,1498.0,FWD,4360.0,1822.0,1695.0,5.0,50.0,105.0,142.0,1.0269562977782698e-15,0.04786690820705145
Maruti Suzuki,325000,2012,68000,Petrol,Manual,Kanpur,Second,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,85.0,114.0,-1.1102230246251565e-16,-1.1933249721145225
Hyundai,1390000,2019,29096,Petrol,Automatic,Mumbai,First,Individual,1591.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,122.0,151.0,8.049116928532385e-16,0.5444996892696671
Hyundai,459999,2016,61223,Petrol,Manual,Kanpur,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0,-4.996003610813204e-16,-0.7456989055913031
Jeep,1075000,2017,86000,Diesel,Manual,Ludhiana,First,Individual,1956.0,FWD,4395.0,1818.0,1640.0,5.0,60.0,171.0,350.0,6.38378239159465e-16,0.26196962565685
Hyundai,484999,2013,87000,Diesel,Manual,Ludhiana,First,Individual,1582.0,FWD,4440.0,1729.0,1475.0,5.0,45.0,126.0,260.0,-1.0547118733938987e-15,-0.6793698321669379
Hyundai,385000,2013,79287,Petrol,Manual,Kanpur,First,Individual,1197.0,FWD,3995.0,1710.0,1505.0,5.0,45.0,83.0,113.796,-6.661338147750939e-16,-0.9723503683653725
Mercedes-Benz,4400000,2018,47009,Diesel,Automatic,Pune,Second,Individual,1498.0,FWD,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0,-2.498001805406602e-16,1.6952356236985386
Audi,3900000,2018,48945,Diesel,Automatic,Other,First,Corporate,1968.0,FWD,4933.0,1874.0,1455.0,5.0,75.0,190.0,400.0,-1.3600232051658168e-15,1.5831563409732023
Mahindra,1050000,2019,17000,Diesel,Manual,Lucknow,First,Individual,1497.0,FWD,4585.0,1866.0,1774.0,8.0,45.0,121.0,300.0,1.4710455076283324e-15,0.2355962752016608
Kia,1575000,2019,55000,Diesel,Manual,Lucknow,First,Individual,1493.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,113.0,250.0,6.661338147750939e-16,0.6782983994502378
Maruti Suzuki,655000,2016,38779,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0,-7.494005416219807e-16,-0.3117975571019085
Mercedes-Benz,4500000,2019,72000,Diesel,Automatic,Pune,First,Individual,1950.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,192.0,400.0,-8.326672684688674e-16,1.7159107061170356
Maruti Suzuki,865000,2016,67000,Diesel,Manual,Navi Mumbai,First,Individual,1248.0,FWD,4296.0,1695.0,1685.0,7.0,45.0,89.0,200.0,9.71445146547012e-16,0.015079206895631858
Hyundai,699000,2017,67000,Petrol,Manual,Navi Mumbai,First,Individual,1591.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,121.0,158.0,-1.0547118733938987e-15,-0.2342511178225339
Hyundai,425000,2012,70000,Diesel,Manual,Jalandhar,Second,Individual,1582.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,126.0,260.0,-1.0547118733938987e-15,-0.845788031380526
Toyota,2900000,2017,46000,Diesel,Automatic,Delhi,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0,1.7486012637846216e-15,1.299845700924678
